width,max_num_blocks,num_nodes,required_bits_lowerbound,required_bits_upperbound
64,256,15287,30574,31616
64,256,16384,32768,34400
64,256,17560,35120,37440
64,256,18821,37642,39936
64,256,20172,40344,42624
64,256,21619,43238,45504
64,256,23171,46342,48576
64,256,24834,49668,51968
64,256,26616,53232,55552
64,256,28527,57054,59328
64,256,30574,61148,63424
64,256,32768,65536,69728
64,256,35120,70240,75072
64,256,37641,75282,80256
64,256,40343,80686,85504
64,256,43238,86476,91328
64,256,46341,92682,97536
64,256,49668,99336,104128
64,256,53232,106464,111360
64,256,57053,114106,118912
64,256,61148,122296,127168
64,256,65536,131072,139104
64,256,70240,140480,150400
64,256,75282,150564,160576
64,256,80685,161370,171264
64,256,86476,172952,182912
64,256,92682,185364,195264
64,256,99335,198670,208512
64,256,106464,212928,222976
64,256,114105,228210,238208
64,256,122295,244590,254656
64,256,131072,262144,275712
64,256,140480,280960,301056
64,256,150563,301126,321344
64,256,161369,322738,342976
64,256,172951,345902,366144
64,256,185364,370728,390848
64,256,198669,397338,417536
64,256,212928,425856,446016
64,256,228210,456420,476416
64,256,244589,489178,509312
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,2,4,416
64,1024,3,6,416
64,1024,3,6,416
64,1024,3,6,416
64,1024,3,6,416
64,1024,3,6,416
64,1024,4,8,416
64,1024,4,8,416
64,1024,4,8,416
64,1024,4,8,416
64,1024,4,8,416
64,1024,5,10,416
64,1024,5,10,416
64,1024,5,10,416
64,1024,6,12,416
64,1024,6,12,416
64,1024,7,14,416
64,1024,7,14,416
64,1024,7,14,416
64,1024,8,16,416
64,1024,8,16,416
64,1024,9,18,416
64,1024,10,20,416
64,1024,10,20,416
64,1024,11,22,416
64,1024,12,24,416
64,1024,13,26,416
64,1024,13,26,416
64,1024,14,28,416
64,1024,15,30,416
64,1024,16,32,416
64,1024,18,36,416
64,1024,19,38,416
64,1024,20,40,416
64,1024,22,44,416
64,1024,23,46,416
64,1024,25,50,416
64,1024,26,52,416
64,1024,28,56,416
64,1024,30,60,416
64,1024,32,64,416
64,1024,35,70,480
64,1024,37,74,480
64,1024,40,80,480
64,1024,43,86,480
64,1024,46,92,480
64,1024,49,98,480
64,1024,52,104,480
64,1024,56,112,480
64,1024,60,120,480
64,1024,64,128,480
64,1024,69,138,544
64,1024,74,148,544
64,1024,79,158,544
64,1024,85,170,544
64,1024,91,182,544
64,1024,98,196,608
64,1024,104,208,608
64,1024,112,224,608
64,1024,120,240,608
64,1024,128,256,608
64,1024,138,276,672
64,1024,148,296,672
64,1024,158,316,672
64,1024,169,338,736
64,1024,182,364,736
64,1024,195,390,800
64,1024,208,416,800
64,1024,223,446,800
64,1024,239,478,864
64,1024,256,512,864
64,1024,275,550,928
64,1024,295,590,992
64,1024,316,632,992
64,1024,338,676,1056
64,1024,363,726,1120
64,1024,389,778,1184
64,1024,416,832,1184
64,1024,446,892,1248
64,1024,478,956,1312
64,1024,512,1024,1376
64,1024,549,1098,1504
64,1024,589,1178,1568
64,1024,631,1262,1632
64,1024,676,1352,1760
64,1024,725,1450,1824
64,1024,777,1554,1952
64,1024,832,1664,2016
64,1024,892,1784,2144
64,1024,956,1912,2272
64,1024,1024,2048,2400
